Released_Year,movieCount,maxDuration,minDuration,avgRating
2001,27,99 ,101 ,7.899999999999998
2015,25,97 ,100 ,7.867999999999998
2012,24,94 ,101 ,7.941666666666664
2008,21,98 ,101 ,7.923809523809522
2011,18,98 ,100 ,7.877777777777776
2009,29,97 ,100 ,7.86551724137931
2017,22,94 ,101 ,7.890909090909091
2003,22,93 ,100 ,7.9499999999999975
2006,26,98 ,101 ,7.89230769230769
2007,26,96 ,100 ,7.8769230769230765
1967,10,78 ,100 ,7.849999999999999
1996,10,98 ,105 ,7.889999999999999
2016,28,96 ,100 ,7.93571428571429
2013,28,98 ,104 ,7.921428571428572
1962,13,96 ,105 ,8.061538461538461
1994,13,99 ,102 ,8.23846153846154
2014,32,99 ,100 ,7.9187499999999975
2004,31,99 ,101 ,7.874193548387095
1931,3,87 ,117 ,8.200000000000001
1938,3,96 ,102 ,7.833333333333333
1977,3,93 ,121 ,8.066666666666668
1942,3,99 ,102 ,8.233333333333333
1935,3,96 ,75 ,7.766666666666666
1969,3,145 ,110 ,7.8999999999999995
1949,3,114 ,104 ,8.066666666666666
1970,3,172 ,113 ,7.833333333333333
1933,3,71 ,100 ,7.8
1953,5,136 ,118 ,7.9799999999999995
1956,5,84 ,119 ,7.82
1946,5,170 ,102 ,8.02
1939,5,96 ,102 ,8.0
1961,5,179 ,100 ,7.959999999999999
1951,5,92 ,101 ,7.88
1963,5,172 ,113 ,8.040000000000001
1950,5,94 ,104 ,8.139999999999999
1983,5,93 ,131 ,8.0
1940,7,99 ,112 ,8.014285714285714
1978,7,99 ,121 ,7.8428571428571425
1959,7,99 ,121 ,8.085714285714285
1964,7,99 ,110 ,7.8571428571428585
1976,7,177 ,114 ,8.014285714285714
1966,7,85 ,111 ,8.057142857142859
1936,1,87 ,87 ,8.5
1943,1,108 ,108 ,7.8
1926,1,67 ,67 ,8.1
1930,1,152 ,152 ,8.0
PG,1,140 ,140 ,7.6
1921,1,68 ,68 ,8.3
1922,1,94 ,94 ,7.9
1924,1,45 ,45 ,8.2
1937,1,113 ,113 ,8.1
1920,1,76 ,76 ,8.1
1957,9,96 ,110 ,8.277777777777779
1971,9,91 ,100 ,7.933333333333334
1984,9,99 ,105 ,8.0
1986,9,89 ,103 ,7.933333333333333
1985,9,97 ,114 ,7.966666666666665
1975,9,91 ,107 ,8.088888888888889
2000,19,98 ,101 ,7.957894736842104
2002,19,179 ,101 ,7.8999999999999995
2018,19,156 ,101 ,7.994736842105263
1995,19,99 ,101 ,8.010526315789473
1997,19,89 ,103 ,7.94736842105263
1987,12,98 ,104 ,7.841666666666665
1992,12,99 ,100 ,7.841666666666668
1973,12,94 ,102 ,7.883333333333333
1979,12,96 ,100 ,7.933333333333333
1991,12,99 ,112 ,7.933333333333333
1932,2,93 ,64 ,7.85
1941,2,119 ,100 ,8.15
1927,2,94 ,153 ,8.2
1947,2,97 ,96 ,7.95
1925,2,95 ,75 ,8.1
1934,2,91 ,105 ,8.05
1928,2,72 ,110 ,8.1
1945,2,86 ,101 ,7.95
2020,6,160 ,100 ,8.133333333333331
1954,6,207 ,105 ,8.166666666666666
1974,6,93 ,104 ,8.05
1955,6,92 ,111 ,7.916666666666668
1948,6,89 ,100 ,8.033333333333333
1988,11,89 ,104 ,8.036363636363635
1982,11,95 ,109 ,7.927272727272728
1989,11,95 ,103 ,7.863636363636361
1960,11,90 ,101 ,7.972727272727273
1958,4,95 ,108 ,8.1
1965,4,197 ,105 ,8.0
1981,4,96 ,109 ,7.975000000000001
1944,4,97 ,100 ,7.925000000000001
1952,4,85 ,103 ,8.05
2019,23,97 ,100 ,7.995652173913045
1993,23,94 ,101 ,7.904347826086957
2010,23,98 ,100 ,7.904347826086955
2005,17,94 ,112 ,7.888235294117647
1999,17,92 ,101 ,8.017647058823528
1998,17,93 ,100 ,7.929411764705882
1972,8,95 ,102 ,8.087499999999999
1968,8,96 ,105 ,8.0
1980,8,88 ,124 ,8.0875
1990,8,181 ,103 ,7.8875
